id,waktu_pindai,id_nanas,titik_pindai,ch_a,ch_b,ch_c,ch_d,ch_e,ch_f,ch_g,ch_h,ch_i,ch_j,ch_k,ch_l,ch_r,ch_s,ch_t,ch_u,ch_v,ch_w
3594,2026-09-01 23:43:27.914815+00,UJI-01,Bawah,12.3811,24.4797,56.2069,10.4515,23.1455,12.7104,9.35569,14.7313,11.3539,6.55977,64.183,278.078,23.4902,31.0296,7.8573,6.60372,13.2483,10.0172
3593,2026-09-01 23:43:26.494389+00,UJI-01,Bawah,12.3811,24.4797,54.2687,11.4016,23.1455,13.4581,9.87545,15.7134,11.3539,6.96976,64.7773,297.806,27.0138,29.9953,7.8573,7.42918,13.2483,10.0172
3592,2026-09-01 23:43:25.017961+00,UJI-01,Bawah,12.3811,24.4797,58.1451,11.4016,24.7417,14.2058,9.87545,15.2223,11.3539,6.96976,65.3716,306.261,28.1883,32.064,8.64303,7.42918,13.2483,10.0172
3591,2026-09-01 23:43:23.538715+00,UJI-01,Bawah,12.3811,25.4589,62.0214,12.3517,25.5398,14.2058,9.87545,15.2223,11.3539,6.96976,65.3716,312.837,29.3628,36.2012,8.64303,7.42918,13.2483,10.0172
3590,2026-09-01 23:43:22.133508+00,UJI-01,Bawah,12.3811,24.4797,60.0833,12.3517,23.9436,14.2058,9.87545,15.2223,10.9334,6.96976,61.8058,310.019,31.7118,33.0983,8.64303,7.42918,13.2483,11.1302
3589,2026-09-01 23:42:47.274897+00,UJI-01,Tengah,15.9186,45.0426,126.95,28.504,51.8778,31.4023,12.4743,18.1686,14.2975,6.96976,55.863,254.591,34.0608,35.1669,7.8573,7.42918,14.1315,11.1302
3588,2026-09-01 23:42:45.910247+00,UJI-01,Tengah,15.9186,46.0218,127.919,27.5539,51.8778,31.4023,12.4743,18.1686,14.2975,7.37974,56.4573,256.47,34.0608,35.1669,7.8573,7.42918,14.1315,11.1302
3587,2026-09-01 23:42:44.407195+00,UJI-01,Tengah,15.9186,45.0426,126.95,28.504,51.8778,32.1499,12.994,18.6596,14.2975,7.37974,56.4573,261.167,35.2353,33.0983,7.8573,7.42918,14.1315,11.1302
3586,2026-09-01 23:42:43.029878+00,UJI-01,Tengah,15.9186,46.0218,130.826,26.6037,51.0797,29.1593,11.9545,17.1865,14.2975,6.96976,56.4573,242.378,31.7118,33.0983,7.8573,7.42918,14.1315,11.1302
3585,2026-09-01 23:42:41.648885+00,UJI-01,Tengah,14.1498,32.3131,82.3722,23.7533,38.3098,25.4209,12.994,19.6417,15.559,6.96976,52.2972,248.955,34.0608,32.064,7.8573,7.42918,13.2483,11.1302
